Handle,Title,Status,Published,Variant SKU,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy
alkaram-2-pc-printed-lawn-suit-with-lawn-dupatta-flrs-18-1-23-mint-green,Alkaram · Ladies Unstitched Casual 2 piece,active,TRUE,KJC-LU-ALK-10124,shopify,5,deny
alkaram-2-pc-printed-lawn-suit-with-lawn-dupatta-flrs-21-1-23-orange,Alkaram · Ladies Unstitched Casual 2 piece,active,TRUE,KJC-LU-ALK-10125,shopify,5,deny
alkaram-2-pc-printed-lawn-suit-with-lawn-dupatta-flrs-48-1-23-grey,Alkaram · Ladies Unstitched Casual 2 piece,active,TRUE,KJC-LU-ALK-10126,shopify,5,deny
alkaram-woolen-shawl-fabric-fw-c-23d-23-black,Alkaram · Ladies Unstitched Casual 1 piece,active,TRUE,KJC-LU-ALK-10127,shopify,5,deny
alkaram-3-pc-printed-lawn-suit-with-jacquard-net-dupatta-ss-30-1-23-yellow,Alkaram · Ladies Unstitched Printed 3 piece,active,TRUE,KJC-LU-ALK-10128,shopify,5,deny
alkaram-2-pc-embroidered-lawn-suit-with-cambric-trouser-64914,Alkaram · Ladies Unstitched Casual Lawn 2 piece,active,TRUE,KJC-LU-ALK-10129,shopify,5,deny
alkaram-1-pc-poly-chiffon-dupatta-62509,Alkaram · Ladies Unstitched Casual 1 piece,active,TRUE,KJC-LU-ALK-10130,shopify,5,deny
alkaram-4-pc-embroidered-organza-suit-with-organza-dupatta-hf-05-24-ochre,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10131,shopify,5,deny
alkaram-3-pc-embroidered-glim-suit-with-zari-lawn-dupatta-fc-w-14d-23-3-brown,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10132,shopify,5,deny
alkaram-3-pc-embroidered-two-way-slub-suit-with-yarn-dyed-dupatta-fc-13e-23-2-grey,Alkaram · Ladies Unstitched Embroidered 3 piece,active,TRUE,KJC-LU-ALK-10133,shopify,5,deny
